,collection_longitude,collection_latitude,collection_date,delivery_longitude,delivery_latitude,delivery_date,size,id
71,-2.2142191000000366,57.2398058,2016-11-14 13:30:00,-2.0807933807373047,57.14080343154772,2016-11-14 17:00:00,0.16666666666666666,1011272
72,-2.2142191000000366,57.2398058,2016-11-14 13:30:00,-2.0807933807373047,57.14080343154772,2016-11-14 17:00:00,0.16666666666666666,1011272
73,-2.0723390579223637,57.119281973709384,2017-01-19 12:30:00,-2.0759868621826167,57.144691797518455,2017-01-19 15:30:00,1.0,1020406
74,-2.0723390579223637,57.119281973709384,2017-01-19 12:30:00,-2.0759868621826167,57.144691797518455,2017-01-19 15:30:00,1.0,1020406
75,-2.669677734375,56.72259433299854,2017-01-17 11:30:00,-2.0759868621826167,57.144691797518455,2017-01-17 15:00:00,1.0,1020032
76,-2.154056800000035,57.16795639999999,2017-01-06 08:00:00,-2.093347999999992,57.146325600000004,2017-01-06 12:00:00,1.0,1018348
77,-2.2478849000000305,57.04947900000001,2016-12-08 07:30:00,-2.0812995999999657,57.14305039999999,2016-12-08 12:00:00,1.0,1014577
78,-2.0735506999999416,57.1186753,2016-11-07 11:00:00,-2.072161000000051,57.1427326,2016-11-07 16:00:00,1.0,1010292
79,-2.2142191000000366,57.2398058,2017-01-18 14:00:00,-2.0829927921295166,57.14157764477307,2017-01-18 16:00:00,1.0,1020258
80,-2.0735506999999416,57.1186753,2016-10-19 07:00:00,-2.072161000000051,57.1427326,2016-10-19 11:00:00,1.0,1007682
81,-2.0723390579223637,57.119281973709384,2017-01-19 09:30:00,-2.0759868621826167,57.144691797518455,2017-01-19 12:00:00,1.0,1020406
82,-2.0723390579223637,57.119281973709384,2017-01-19 09:30:00,-2.0759868621826167,57.144691797518455,2017-01-19 12:00:00,1.0,1020406
83,-2.0723390579223637,57.119281973709384,2017-01-13 07:00:00,-2.077220678329468,57.14501192920676,2017-01-13 16:00:00,0.75,1018877
84,-2.0723390579223637,57.119281973709384,2017-01-13 07:00:00,-2.077220678329468,57.14501192920676,2017-01-13 16:00:00,0.75,1018877
85,-2.0723390579223637,57.119281973709384,2017-01-13 07:00:00,-2.077220678329468,57.14501192920676,2017-01-13 16:00:00,0.75,1018877
86,-2.0723390579223637,57.119281973709384,2017-01-13 07:00:00,-2.077220678329468,57.14501192920676,2017-01-13 16:00:00,0.75,1018877
87,-2.0723390579223637,57.119281973709384,2017-01-13 07:00:00,-2.077220678329468,57.14501192920676,2017-01-13 16:00:00,0.75,1018877
88,-2.0723390579223637,57.119281973709384,2017-01-13 07:00:00,-2.077220678329468,57.14501192920676,2017-01-13 16:00:00,0.75,1018877
89,-2.0723390579223637,57.119281973709384,2017-01-13 07:00:00,-2.077220678329468,57.14501192920676,2017-01-13 16:00:00,0.75,1018877
90,-2.0723390579223637,57.119281973709384,2017-01-13 07:00:00,-2.077220678329468,57.14501192920676,2017-01-13 16:00:00,0.75,1018877
91,-2.154056800000035,57.16795639999999,2017-01-17 10:00:00,-2.093347999999992,57.146325600000004,2017-01-17 13:00:00,1.0,1019914
92,-2.669677734375,56.72259433299854,2017-01-18 11:00:00,-2.0759868621826167,57.144691797518455,2017-01-18 15:00:00,1.0,1020247
93,-2.2142191000000366,57.2398058,2016-12-13 15:00:00,-2.0807933807373047,57.14080343154772,2016-12-13 16:00:00,1.0,1015713
94,-2.2142191000000366,57.2398058,2016-11-08 14:30:00,-2.0807933807373047,57.14080343154772,2016-11-08 17:00:00,0.3333333333333333,1010512
95,-2.2142191000000366,57.2398058,2016-11-08 14:30:00,-2.0807933807373047,57.14080343154772,2016-11-08 17:00:00,0.3333333333333333,1010512
96,-2.2142191000000366,57.2398058,2016-11-08 14:30:00,-2.0807933807373047,57.14080343154772,2016-11-08 17:00:00,0.3333333333333333,1010512
97,-2.2142191000000366,57.2398058,2016-11-03 13:00:00,-2.0807933807373047,57.14080343154772,2016-11-03 16:00:00,0.3333333333333333,1009936
98,-2.2142191000000366,57.2398058,2016-11-03 13:00:00,-2.0807933807373047,57.14080343154772,2016-11-03 16:00:00,0.3333333333333333,1009936
99,-2.2142191000000366,57.2398058,2016-11-03 13:00:00,-2.0807933807373047,57.14080343154772,2016-11-03 16:00:00,0.3333333333333333,1009936
