,collection_geoloc_x,collection_geoloc_y,collect_from,delivery_geoloc_x,delivery_geoloc_y,deliver_by,load_Size
29,-2.0642709732055664,57.11734815677611,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0829927921295166,57.14157764477307,Fri Aug 19 2016 16:00:00 GMT+0100,0.166666667
30,-2.0642709732055664,57.11734815677611,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0829927921295166,57.14157764477307,Fri Aug 19 2016 16:00:00 GMT+0100,0.166666667
31,-2.0642709732055664,57.11734815677611,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0829927921295166,57.14157764477307,Fri Aug 19 2016 16:00:00 GMT+0100,0.166666667
32,-2.283096300000011,57.1495633,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0829927921295166,57.14157764477307,Fri Aug 19 2016 23:00:00 GMT+0100,1.0
33,-2.2153600000000324,57.20438659999999,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0774459838867188,57.13810229016563,Fri Aug 19 2016 12:00:00 GMT+0100,1.0
34,-2.2153600000000324,57.20438659999999,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0774459838867188,57.13810229016563,Fri Aug 19 2016 12:00:00 GMT+0100,1.0
35,-2.2153600000000324,57.20438659999999,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0774459838867188,57.13810229016563,Fri Aug 19 2016 12:00:00 GMT+0100,1.0
36,-2.2153600000000324,57.20438659999999,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0774459838867188,57.13810229016563,Fri Aug 19 2016 12:00:00 GMT+0100,1.0
37,-2.0939263999999866,57.19625740000001,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0829927921295166,57.14157764477307,Fri Aug 19 2016 12:00:00 GMT+0100,0.25
38,-2.0939263999999866,57.19625740000001,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0829927921295166,57.14157764477307,Fri Aug 19 2016 12:00:00 GMT+0100,0.25
39,-2.0939263999999866,57.19625740000001,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0829927921295166,57.14157764477307,Fri Aug 19 2016 12:00:00 GMT+0100,0.25
40,-2.0939263999999866,57.19625740000001,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0829927921295166,57.14157764477307,Fri Aug 19 2016 12:00:00 GMT+0100,0.25
41,-2.087892399999987,57.12535159999999,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0774459838867188,57.13810229016563,Fri Aug 19 2016 19:00:00 GMT+0100,0.14285714300000002
42,-2.087892399999987,57.12535159999999,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0774459838867188,57.13810229016563,Fri Aug 19 2016 19:00:00 GMT+0100,0.14285714300000002
43,-2.087892399999987,57.12535159999999,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0774459838867188,57.13810229016563,Fri Aug 19 2016 19:00:00 GMT+0100,0.14285714300000002
44,-2.087892399999987,57.12535159999999,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0774459838867188,57.13810229016563,Fri Aug 19 2016 19:00:00 GMT+0100,0.14285714300000002
45,-2.087892399999987,57.12535159999999,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0774459838867188,57.13810229016563,Fri Aug 19 2016 19:00:00 GMT+0100,0.14285714300000002
46,-2.087892399999987,57.12535159999999,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0774459838867188,57.13810229016563,Fri Aug 19 2016 19:00:00 GMT+0100,0.14285714300000002
47,-2.087892399999987,57.12535159999999,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0774459838867188,57.13810229016563,Fri Aug 19 2016 19:00:00 GMT+0100,0.14285714300000002
48,-2.148702700000058,57.068941,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0774459838867188,57.13810229016563,Fri Aug 19 2016 12:00:00 GMT+0100,0.25
49,-2.148702700000058,57.068941,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0774459838867188,57.13810229016563,Fri Aug 19 2016 12:00:00 GMT+0100,0.25
50,-2.148702700000058,57.068941,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0774459838867188,57.13810229016563,Fri Aug 19 2016 12:00:00 GMT+0100,0.25
51,-2.148702700000058,57.068941,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0774459838867188,57.13810229016563,Fri Aug 19 2016 12:00:00 GMT+0100,0.25
52,-2.1970536999999695,57.2131249,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0774459838867188,57.13810229016563,Fri Aug 19 2016 19:00:00 GMT+0100,0.5
53,-2.1970536999999695,57.2131249,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0774459838867188,57.13810229016563,Fri Aug 19 2016 19:00:00 GMT+0100,0.5
54,-2.2153600000000324,57.20438659999999,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0774459838867188,57.13810229016563,Fri Aug 19 2016 12:00:00 GMT+0100,1.0
55,-2.082431100000008,57.1101158,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0829927921295166,57.14157764477307,Fri Aug 19 2016 23:00:00 GMT+0100,0.333333333
56,-2.082431100000008,57.1101158,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0829927921295166,57.14157764477307,Fri Aug 19 2016 23:00:00 GMT+0100,0.333333333
57,-2.082431100000008,57.1101158,Fri Aug 19 2016 09:00:00 GMT+0100,-2.0829927921295166,57.14157764477307,Fri Aug 19 2016 23:00:00 GMT+0100,0.333333333
58,-2.283096300000011,57.1495633,Fri Aug 19 2016 10:00:00 GMT+0100,-2.0774459838867188,57.13810229016563,Fri Aug 19 2016 12:00:00 GMT+0100,0.333333333
59,-2.283096300000011,57.1495633,Fri Aug 19 2016 10:00:00 GMT+0100,-2.0774459838867188,57.13810229016563,Fri Aug 19 2016 12:00:00 GMT+0100,0.333333333
60,-2.283096300000011,57.1495633,Fri Aug 19 2016 10:00:00 GMT+0100,-2.0774459838867188,57.13810229016563,Fri Aug 19 2016 12:00:00 GMT+0100,0.333333333
61,-2.192722799999956,57.2152227,Fri Aug 19 2016 10:00:00 GMT+0100,-2.0774459838867188,57.13810229016563,Fri Aug 19 2016 12:00:00 GMT+0100,0.166666667
62,-2.192722799999956,57.2152227,Fri Aug 19 2016 10:00:00 GMT+0100,-2.0774459838867188,57.13810229016563,Fri Aug 19 2016 12:00:00 GMT+0100,0.166666667
